Aion,AION,https://coinmarketcap.com/currencies/aion/,2.49614
Factom,FCT,https://coinmarketcap.com/currencies/factom/,22.5343
MonaCoin,MONA,https://coinmarketcap.com/currencies/monacoin/,3.43737
SALT,SALT,https://coinmarketcap.com/currencies/salt/,3.54967
Power Ledger,POWR,https://coinmarketcap.com/currencies/power-ledger/,0.507361
FunFair,FUN,https://coinmarketcap.com/currencies/funfair/,0.0400742
XPlay,XPA,https://coinmarketcap.com/currencies/xplay/,0.179619
Kin,KIN,https://coinmarketcap.com/currencies/kin/,0.00023486
SingularityNET,AGI,https://coinmarketcap.com/currencies/singularitynet/,0.376988
Nxt,NXT,https://coinmarketcap.com/currencies/nxt/,0.162799
ZCoin,XZC,https://coinmarketcap.com/currencies/zcoin/,39.5837
MaidSafeCoin,MAID,https://coinmarketcap.com/currencies/maidsafecoin/,0.335895
ReddCoin,RDD,https://coinmarketcap.com/currencies/reddcoin/,0.0052698
TenX,PAY,https://coinmarketcap.com/currencies/tenx/,1.41876
Bancor,BNT,https://coinmarketcap.com/currencies/bancor/,4.34316
Request Network,REQ,https://coinmarketcap.com/currencies/request-network/,0.226105
Nexus,NXS,https://coinmarketcap.com/currencies/nexus/,2.58329
Enigma,ENG,https://coinmarketcap.com/currencies/enigma-project/,1.89005
Ignis,IGNIS,https://coinmarketcap.com/currencies/ignis/,0.183791
Iconomi,ICN,https://coinmarketcap.com/currencies/iconomi/,1.35115
Particl,PART,https://coinmarketcap.com/currencies/particl/,15.075
WAX,WAX,https://coinmarketcap.com/currencies/wax/,0.266563
GameCredits,GAME,https://coinmarketcap.com/currencies/gamecredits/,2.03232
